阰: 古山名。在楚国南部。
萹: 〔萹蓄〕也叫扁竹。一年生平卧草本植物。可入药。
竢: 同“俟1”。
訑: 古同“诞”，放纵。
殀: 同“夭”。
泭: 古同“桴”，筏子。
徕: 慰劳、安抚。  【组词】：劳徕远人
緼: 义未详。
暨: 1.和；及；与。2.到；至：～今。3.姓。
荼: 1.古书上指一种苦菜。2.古书上指一种茅草的白花：如火如～。
糺: 古同“纠”。
曶: 1.古通“忽”（ａ．迅速：“～如神。”ｂ．忽略；忽视：“时人皆～之。”ｃ．极微小的数量单位）。2.古同“旸”。3.古剑名。
抆: 擦；拭：～泪。
澂: 同“澄”。
渂: 汶，古水名，在今山东，有多个相关地名，大～口。～上。新～煤矿。#####今大汶水，又称“大汶河”，发源于山东省莱芜市北，古代本经东平县至梁山东南，流入济水。今主流西注东平湖，北入黄河浮于汶，达于济。――《书·禹贡》#####汶川，四川省辖县，2008年大地震震中。
礚: 水石相击声。
悐: 同“惕”。
阨: 困窘的。  【组词】：困厄、厄运
晈: 古同“皎”。
晔: 1.兴盛；充满生机。2.“曄”，也作“烨”的异体字。
蘦: 1.甘草。2.古通“零”，零落。
毋: 1.表示禁止或劝阻，相当于“不要”：～妄言。宁缺～滥。2.姓。
琬: 一种无棱角的圭。
頩: 光润而美的样子。
脕: 光润：“玉色頩以～颜兮。”
骜: 1.骏马。2.马不驯顺，喻指傲慢倔强：桀～不驯。
杲: 1.明亮：～日。2.姓。
旂: 绘有图案可作为标帜、号令或纪念的布帛或纸等。  【组词】：国旗、军旗、锦旗满清时户口与军队的编制单位。后我国边疆蒙古地方的行政单位亦仿满洲八旗制而划分。相当于「县」。  【组词】：八旗、盟旗满族的。  【组词】：旗袍、旗人
蓐: 草席；草垫子（多指产妇的床铺）：坐～（坐月子）。
曃: 见〔暧曃〕
曭: 〔～莽〕（太阳）不明亮。
轂: 见“毂”。
抯: 取。
挢: 1.抬起；举起；翘起：～首高视。2.同“矫1”3.（jiǎo）。4.同“矫3”（jiǎo）。
媮: 同“偷”。
汎: 漂浮。  【组词】：泛舟呈现、透着。  【组词】：他脸上泛着一层红光。浮浅、不切实际的。  【组词】：空泛、浮泛广博、普遍。  【组词】：广泛、泛称
蟉: 〔～虬（qiú）〕蜷曲，盘曲，如“玄螭虫象并出进兮，形～虬（qiú）而逶迤。”
虯: 同“虬”。
逴: 1.远。2.超越。3.远行。
颛: 1.愚昧。2.同“专”。
顼: 见  〔颛顼〕
悃: 真心诚意：～诚。聊表谢～。
哫: 〔哫訾〕阿谀奉承。
訾: 1.同“赀”2.姓。
淈: 搅浑；扰乱。
餔: 吃、进食。  【组词】：餔糟啜醨（ㄌㄧˊ）申时。指下午三点到五点。或泛指黄昏时分。古人一天两餐，晚餐在日斜之后，日落之前，这段时间叫做「餔」。
醨: 薄酒。
莞: →莞尔
憭: 〔～栗〕哀怆；凄凉。
漻: 1.（水）清澈：“～乎其清也。”2.停聚的（水）：“（禹）通大川，决壅塞，凿龙门，降通～水以导河。”3.静：“寂～无声。”4.〔～水〕河名，在中国湖北省。5.气盛：“～然丰满而手足拇动者，兵甲之色也。”
懭: 1.强悍。2.〔～悢（liàng）〕怅惘，不得志的样子。3.恨。
悢: 悲伤：～然。
廱: 1.和谐；和乐。2.古通“壅”，堵塞：“～河三日不流。”
哳: 见〔啁哳〕
軨: 古代车箱前面和左右两面的木栏：“倚结～兮长太息，涕潺湲兮下沾轼。”
忼: 情绪激昂，如“～～激昂”；待人热诚，愿意用财物帮助人，如“为人～～大方”。
奄: 覆盖、涵盖。奄有四海急遽、匆促。奄忽经秋
菸: 植物名。茄科菸草属，一年生草本。叶大，互生，椭圆形而尖。叶片上布满茸毛，分泌树脂，散发香气。夏日开淡红色花，但为了促进菸叶的成长和成熟，必须在即将开放时剪除。叶为制香菸的材料。　△菸草
挐: 同“拿”。
萷: 古同“梢”，树梢。
櫹: 1.〔～槮（shěn）〕ａ．草木茂盛，ｂ．树木花叶凋落。2.古书上说的一种大树：“其树则有木兰梫桂，杞～椅桐。”
椮: 〔森～〕（树木）高耸的样子，如“林箫蔓荆，森～柞朴。”古代的一种捕鱼器具：“～密鱼虽暖，巢危鹤更阴。”
瘀: 1.积血。2.血液不流通：活血化～。
騑: 驾在车辕两旁的马：“俨骖～于上路，访风景于崇阿。”
俇: 1.运行。2.〔～～〕慌张失措。3.往。
卬: 1.人称代词。我。2.同“昂”。
狺: 〔狺狺〕拟声词。狗叫声。
漧: 干燥。
塊: 结聚成团或固体状的东西。  【组词】：肉块、糖块、冰块一起、一同。  【组词】：等一下，我们一块儿走。量词： 计算块状或片状东西的单位。  【组词】：一块地、三块糖　◎　 计算钱币的单位。相当于「元」。  【组词】：十块钱
駶: （马）跳跃：“见执辔者非其人兮，故～跳而远去。”
铻: 见  〔锟铻〕
棲: →3528ㄑㄧ ｃｉ
餧: 同“喂”。
桉: 1.桉树，常绿乔木。种类很多。树干高而直，木质坚韧；枝叶可提制桉油。中国热带、亚热带地区有种植。2.另音àn，“案”的异体字。
倔: 性子直，态度生硬：～头～脑。
悷: 悲伤：“卿士凄怆民恻～。”
嵺: 〔～廓〕同“寥廓”，深远空旷。
觊: 希望；希图。
霠: 古同“霒”。
黕: 1.污垢。2.乌 黑。
汙: 同「污」。
黮: 云黑色：“当时～闇犹承误，末俗纷纭更乱真。”
裯: 短衣。
緜: 丝绵；用蚕丝加工而成的絮状物。指柳絮等丝絮状物。木棉树，后作“棉”。
竄: 见“窜”。
惛: 古同“昏”，迷乱；糊涂：“心以利倾，智以势～。”
嶜: 〔～崟（yín）〕高峻；险峻，如“玉石～崟（yín），眩耀青荧。”
怐: 〔～愗（mào）〕愚昧无知。
愗: 见〔怐愗〕
肖: 像；相似：惟妙惟～。
硃: 大红色。  【组词】：近朱者赤姓。
茇: 1.草木的根。2.在草舍住宿：“勿剪勿伐，召伯所～。”3.拔除。4.古同“跋”。5.姓。
躣: 〔～～〕（蛟龙）游动的样子，如“左朱雀之茇茇兮，右苍龙之～～。”
辌: 见  〔辒辌〕
恙: 病：偶染微～。安然无～。
蓁: 丛生的草木或荆棘：～莽。
侁: 〔侁侁〕形容众多。
觺: 〔觺觺〕形容兽角锐利。
脄: 同“脢”。
拇: 拇指，也叫大拇指。手、脚的大指：～战（喝酒时划拳）。
伂: 古同“沛”。
駓: 毛色黄白相杂的马。亦称“桃花马”。
穾: 1.结构深邃的：“冬有～厦，夏室寒些。”2.幽深：“累台增成，岩～洞房。”3.喻修养或学问的高深境界。4.古同“窔”，室中东南角：“守～奥之荧烛，未卬天庭而睹白日也。”5.好。6.象声词，形容风声。
蒻: 古书上指嫩的香蒲：蒲～。
帱: 1.帐子。2.车帷。
琦: 1.美玉。2.不凡的；美好的：～行（美好的品德）。
鬋: 1.下垂的鬓发：盛～。2.剪须发。
絚: 古同“緪”。
矊: 1.眼睛：“既怒～以相向兮。”2.含情脉脉：“靡颜腻理，遗视～些。”
桷: 方形的椽（chuán）子。
穱: 1.早熟的麦，泛指早熟的谷物。2.在稻田种麦。3.小。4.选择。
醎: 古同“鹹”。
腱: 也叫肌腱。生在肌肉两端的结缔组织。色白坚韧。有连结肌肉使固着于骨骼的作用。
臑: 古书上指牲畜的前肢。
胹: 煮；煮烂。
炮: 1.口径在2厘米以上，能发射炮弹的重型射击武器，火力强，射程远。种类很多，有迫击炮、榴弹炮、加农炮、高射炮等。也叫火炮。我国古代的炮最早是用机械发射石头的。火药发明后，改为用火药发射铁弹丸。2.爆竹：鞭～。花～。3.爆破土石等在凿眼里装上炸药后叫做炮。
臇: 1.汁少的羹。2.做成少汁羹。
臛: 肉羹。
蠵: 〔蠵龟〕爬行动物。龟的一种。体大，长约1米，背面褐色，腹面淡黄，头部有对称的鳞片，四肢呈桨状，尾短。生活在海中。
粔: 〔粔籹〕古代一种食品。以蜜和（huó）米面，油煎而成。籹（nǚ）。
籹: 见〔粔籹〕
餦: 〔～餭（huáng）〕ａ．干饴糖，如“粔籹蜜饵，有～餭（huáng）兮。”ｂ．古代指馓子之类的食面品。
餭: 〔餦～〕见“餦”。
搷: 1.击打：“竽瑟狂会，～鸣鼓些。”2.播扬。3.引。
<: 
>: 
菎: 1.古书上说的一种香草。2.古通“琨”。
簙: 古代的一种棋类游戏。
揳: 把楔子、钉子等捶打到物体里面：榫子缝儿里～上个楔子。墙上～个钉子。往地里～根橛子。
蘋: →苹果
浟: [浟浟]水流动的样子。姓。
蜒: 1.蛞蝓（kuòyú）。2.见〖海蜒〗、
鰅: 古书上说的一种表面有斑纹的鱼。
鳙: 也叫花鲢、胖头鱼。鱼类。长可达1米多，背暗黑色，有小黑斑，头大，腹缘后部有棱。是中国主要淡水养殖鱼，分布于全国各大水系。
蜮: 1.传说是躲在水里能暗中含沙射人的动物。比喻暗中害人的阴险分子：鬼～伎俩。2.谷类的害虫：螟～。
鬤: （头发）散乱。
诶: 叹词，表示招呼：～，你快看！
趠: 古同“踔”。
赩: 赤色。
蒪: 〔苴～〕蘘荷，一种草本植物，花穗和嫩芽可食，根状茎入药。
蒌: 〔蒌蒿〕通称水蒿。多年生草本植物。叶羽状分裂，下面密生灰白色细毛，可作艾的代 用品。
鸹: 见  〔老鸹〕
煔: 煮。
鰿: 1.小贝。2.古同“鲫”，鲫鱼。
膗: 肥胖而肌肉松：看他那～样。
嗌: 咽喉被食物等塞住。
譔: 同“撰”。
嫭: 美好；美女。
嫮: 古同“嫭”。
媔: （眼睛）美：“美目～只。”
嘕: 笑的样子：“宜笑～只。”
壛: 〔步～〕长廊，如“曲屋步～。”
鵾: 见“鹍”。
鶖: 见“鹙”。
驦: 见“骦”。
阯: 1.同“址”。2.水中的小块陆地。
蚴: 某些寄生蠕虫（如绦虫、血吸虫等）的幼体：尾～。
虖: 1.〔呜～〕同“呜呼”。2.古通“乎”（a.于：“休息～昆仑之墟。”b.语气词，表示疑问或感叹：“宁令从谀承意，陷主于不谊～？”）。
迻: 同“移”：“屡惩艾而不～。”
谔: 形容直话直说：千人之诺诺，不如一士之～（有许多人说顺从奉承的话，不如有一个人直言不讳）。
謣: 浮夸：“～言败俗。”
係: 有一定秩序或联属关系的整体或组织。  【组词】：世系、太阳系、直系血亲大学中所分的学术科别。  【组词】：中文系、哲学系、物理系
巄: 同“巃”。
嵷: 〔嵱～〕见“嵱”。
坱: 尘埃。
岪: 半山腰的路。
恫: 恐惧；吓唬：～恐。～吓。
沕: 隐没：“袭九渊之神龙兮，～深潜以自珍。”
嵚: 〔嵚崟〕形容山高。崟（yín ）。
碕: 同“埼”。
礒: 〔碕～〕见“碕”。
碅: 〔碅磳〕石危立的样子。磳（zēng）。
磳: 见〔碐磳〕、〔碅磳〕
磈: 1.〔～硊〕（山石）突兀险峻。2.高峻：“苍苍中条山，厥形极奇～。”
硊: 石硊镇（Shíhuì Zhèn），地名，在安徽。
茷: 草叶茂盛。
骫: 曲；枉：～曲（委曲迁就）。～法（枉法）。
靃: 1.象声词，鸟疾飞声，也泛指迅疾声：“雍人缕切，鸾刀若飞，应刃落俎，～～霏霏。”2.古通“藿”，豆叶。3.古地名。
麚: 公鹿。
漇: 〔漇漇〕毛色光润的样子。
咆: 〔咆哮〕猛兽怒吼。形容人暴怒喊叫，也形容水奔腾轰鸣：～如雷。大海在～。哮（xiào）。
讷: 说话迟钝： 口～。 ～ ～。
譅: 1.话很多。2.古同“𠽼”，说话结巴。
孋: 1.古同“骊”，古国名。2.姓。
淖: 烂泥。  【组词】：淖泞、泥淖
岒: 1.〔～峨〕高下不齐，如“世沉淖而难论兮，俗～峨而嵾嵯。”2.山名。
嵾: 1.〔～嵯〕长短、高低不齐，如“石～嵯以翳日。”2.〔～岭〕即“武当山”，在中国湖北省。
歼: 歼灭：～匪。围～。～敌五千。聚而～之。
笫: 竹篾编的席。也用作床的代称：床～。
踸: 〔～踔（chuō）〕ａ．一脚跳行、跛脚走路的样子；ｂ．迅速滋长；ｃ．奔跃。
踔: 1.跳跃：趻～。2.超越。3.疾行。
媞: 容貌美好。
湣: 古同“闵”，古代谥号用字。
輂: 1.古代的一种大马车：“以～车四十乘返谷口。”2.古代一种运土的器具：“陈畚～。”
剌: 违背常情、事理：乖～。～谬。～戾。
恲: 1.流露：“故礼因人情而为之节文，而仁发～以见容。”2.〔～～〕慷慨，如“思比干之～～兮，哀子胥之慎事。”3.烦闷。
斮: 斩；削。
嗫: 〔嗫嚅〕想说话而又吞吞吐吐不敢说出来的样子。嚅（rú ）。
嚅: 〔嚅唲〕形容强颜欢笑。唲（ér）。
埳: 古同“坎”。
飤: 古同“饲”。
蒺: 〔蒺藜〕一年生草本植物。茎平卧。果实有刺，可入药，主治头痛、风痒等。也指这种植物的果实。
俞: 答应、许诺。  【组词】：俞允姓。
恆: 同“恒”。持久：～心。～久。～定。～齿。永～。～星。～温。经常的，普通的：～言。姓。
籓: 1.大箕。2.古同“藩”，篱笆：“～门竹径，清楚可爱。”
悇: 〔悇憛〕忧虑不安。憛（tán）。
憛: 见〔悇憛〕
蕗: 甘草的别称。
黀: 麻秆。
鍼: 同“针”。
锺: 盛酒的器具。亦指酒杯。  【组词】：酒锺、琉璃锺聚集、集中。  【组词】：情有独锺、锺灵毓秀量词。古代计算容量的单位。一锺约等于六斛四斗。  【组词】：千锺粟姓。
鼉: 爬行動物，吻短，體長二米多，背部、尾部均有麟甲。穴居江河岸邊，皮可以蒙鼓。亦稱“揚子鰐”、“鼉龍”、“豬婆龍”。
黽: →黾勉
褭: 1.用丝带系马。2.古同“袅”。
甂: 小瓦盆：“狗彘不择～瓯而食。”
遘: 相遇；碰上。
徠: 1.來，到來。2.招來，使之來。
